id,truck_category,distance_km,traffic_level,time_of_day,is_peak_hour,pickup_area,delivery_area,base_price_npr,accepted_price_npr,price_per_km
298,LARGE,5.2,Medium,Afternoon,0,Gaushala,Maharajgunj,1200,1412.98,271.73
299,SMALL,5.8,Heavy,Evening,1,Kalanki,Swayambhu,400,661.26,114.01
300,SMALL,7.8,Heavy,Morning,1,Gaushala,Koteshwor,400,628.43,80.57
301,SMALL,9.2,Heavy,Morning,1,Bhaktapur,Lazimpat,400,671.88,73.03
302,MEDIUM,1.5,Light,Night,0,Lazimpat,Maharajgunj,700,700.0,466.67
303,SMALL,10.9,Light,Afternoon,0,Lazimpat,Budhanilkantha,400,400.0,36.7
304,SMALL,5.7,Very Heavy,Morning,1,Swayambhu,New Road,400,662.13,116.16
305,SMALL,3.5,Very Heavy,Afternoon,0,Baneshwor,New Road,400,577.18,164.91
306,SMALL,5.7,Light,Afternoon,0,Patan,Dillibazar,400,431.47,75.7
307,MEDIUM,5.8,Heavy,Evening,1,Kalanki,Swayambhu,700,1171.39,201.96
308,MEDIUM,1.5,Heavy,Evening,1,New Road,Thamel,700,1120.78,747.19
309,MEDIUM,2.9,Very Heavy,Evening,1,Chabahil,Swayambhu,700,1292.37,445.64
310,SMALL,5.0,Medium,Afternoon,0,Thamel,Koteshwor,400,480.72,96.14
311,MEDIUM,9.1,Very Heavy,Morning,1,Dillibazar,Koteshwor,700,1242.62,136.55
312,MEDIUM,7.2,Light,Night,0,Chabahil,New Road,700,700.0,97.22
313,SMALL,7.8,Light,Night,0,Maharajgunj,Swayambhu,400,400.0,51.28
314,SMALL,1.5,Light,Afternoon,0,Gaushala,Chabahil,400,428.61,285.74
315,MEDIUM,9.2,Heavy,Morning,1,Swayambhu,Budhanilkantha,700,1083.32,117.75
316,MEDIUM,2.8,Heavy,Evening,1,Baneshwor,Koteshwor,700,1102.31,393.68
317,MEDIUM,6.1,Very Heavy,Morning,1,Dillibazar,Koteshwor,700,1312.91,215.23
318,SMALL,11.3,Very Heavy,Morning,1,Kirtipur,Budhanilkantha,400,665.12,58.86
319,MEDIUM,7.9,Light,Afternoon,0,Lazimpat,Thamel,700,700.0,88.61
320,SMALL,10.2,Light,Afternoon,0,Kirtipur,Maharajgunj,400,437.77,42.92
321,SMALL,1.5,Heavy,Morning,1,Lazimpat,Maharajgunj,400,626.94,417.96
322,MEDIUM,2.8,Heavy,Afternoon,0,Baneshwor,Koteshwor,700,999.94,357.12
323,LARGE,6.0,Very Heavy,Evening,1,Dillibazar,Swayambhu,1200,2269.15,378.19
324,SMALL,6.7,Very Heavy,Morning,1,Kirtipur,New Road,400,737.79,110.12
325,SMALL,3.2,Medium,Afternoon,0,Dillibazar,New Road,400,474.33,148.23
326,SMALL,8.9,Heavy,Morning,1,Bhaktapur,Thamel,400,616.23,69.24
327,SMALL,3.8,Heavy,Evening,1,Baneshwor,Chabahil,400,635.72,167.29
328,SMALL,5.6,Very Heavy,Morning,1,Gaushala,Baneshwor,400,714.76,127.64
329,SMALL,3.4,Very Heavy,Evening,1,Thamel,Dillibazar,400,774.09,227.67
330,SMALL,11.2,Medium,Afternoon,0,Koteshwor,Chabahil,400,404.26,36.09
331,MEDIUM,5.2,Light,Afternoon,0,Maharajgunj,Bhaktapur,700,700.0,134.62
332,SMALL,8.2,Very Heavy,Evening,1,Swayambhu,Maharajgunj,400,726.25,88.57
333,SMALL,11.2,Light,Afternoon,0,Dillibazar,Kalanki,400,420.52,37.55
334,SMALL,9.4,Heavy,Evening,1,Baneshwor,Bhaktapur,400,627.51,66.76
335,MEDIUM,5.5,Heavy,Morning,1,Budhanilkantha,Chabahil,700,1197.43,217.71
336,LARGE,11.8,Very Heavy,Morning,1,Gaushala,Patan,1200,1948.08,165.09
337,SMALL,7.8,Medium,Afternoon,0,Dillibazar,Lazimpat,400,471.73,60.48
338,SMALL,8.3,Very Heavy,Morning,1,Chabahil,Dillibazar,400,769.81,92.75
339,MEDIUM,5.8,Heavy,Evening,1,Swayambhu,Kalanki,700,1060.89,182.91
340,SMALL,9.4,Very Heavy,Morning,1,Thamel,Bhaktapur,400,791.24,84.17
341,MEDIUM,10.4,Heavy,Morning,1,Bhaktapur,Kalanki,700,1157.53,111.3
342,SMALL,6.6,Light,Afternoon,0,Baneshwor,Kirtipur,400,434.99,65.91
343,SMALL,5.0,Medium,Afternoon,0,Budhanilkantha,Kirtipur,400,456.11,91.22
344,SMALL,9.6,Light,Night,0,Swayambhu,Bhaktapur,400,400.0,41.67
345,MEDIUM,4.8,Light,Afternoon,0,Patan,New Road,700,700.0,145.83
346,SMALL,1.2,Heavy,Morning,1,Dillibazar,New Road,400,625.06,520.88
347,SMALL,9.2,Very Heavy,Evening,1,Chabahil,Koteshwor,400,652.13,70.88
348,SMALL,10.9,Very Heavy,Morning,1,Gaushala,Budhanilkantha,400,743.82,68.24
349,SMALL,6.7,Very Heavy,Evening,1,Chabahil,Bhaktapur,400,784.85,117.14
350,SMALL,7.2,Very Heavy,Evening,1,Lazimpat,Thamel,400,759.76,105.52
351,SMALL,10.7,Light,Afternoon,0,Maharajgunj,Budhanilkantha,400,400.0,37.38
352,SMALL,3.8,Very Heavy,Morning,1,Baneshwor,Chabahil,400,675.8,177.84
353,SMALL,11.2,Very Heavy,Evening,1,Budhanilkantha,Bhaktapur,400,659.24,58.86
354,SMALL,8.5,Light,Night,0,Dillibazar,Lazimpat,400,400.0,47.06
355,LARGE,1.5,Heavy,Morning,1,Lazimpat,Maharajgunj,1200,1774.08,1182.72
356,LARGE,8.3,Very Heavy,Morning,1,Maharajgunj,Patan,1200,2370.93,285.65
357,SMALL,3.7,Medium,Afternoon,0,Dillibazar,New Road,400,480.9,129.97
358,LARGE,7.7,Heavy,Morning,1,Budhanilkantha,Bhaktapur,1200,2030.41,263.69
359,LARGE,6.4,Heavy,Morning,1,Patan,Dillibazar,1200,1798.83,281.07
360,MEDIUM,7.8,Light,Afternoon,0,Patan,Maharajgunj,700,720.21,92.33
361,SMALL,6.7,Very Heavy,Evening,1,Budhanilkantha,Patan,400,714.25,106.6
362,MEDIUM,2.9,Light,Afternoon,0,Thamel,Dillibazar,700,715.31,246.66
363,SMALL,11.2,Heavy,Evening,1,Patan,Maharajgunj,400,588.59,52.55
364,SMALL,3.0,Heavy,Evening,1,Dillibazar,Baneshwor,400,579.99,193.33
365,MEDIUM,9.4,Light,Afternoon,0,Maharajgunj,Chabahil,700,700.0,74.47
366,SMALL,3.5,Heavy,Morning,1,Baneshwor,New Road,400,574.21,164.06
367,SMALL,2.9,Heavy,Evening,1,Swayambhu,Chabahil,400,606.35,209.09
368,MEDIUM,6.1,Medium,Afternoon,0,Gaushala,Budhanilkantha,700,760.43,124.66
369,SMALL,2.7,Light,Night,0,Thamel,Dillibazar,400,400.0,148.15
370,SMALL,7.9,Very Heavy,Evening,1,Patan,Maharajgunj,400,760.38,96.25
371,MEDIUM,9.8,Very Heavy,Morning,1,Gaushala,Bhaktapur,700,1141.0,116.43
372,MEDIUM,5.9,Heavy,Morning,1,Chabahil,Koteshwor,700,997.89,169.13
373,LARGE,6.9,Heavy,Morning,1,Bhaktapur,Lazimpat,1200,2043.3,296.13
374,SMALL,10.2,Heavy,Evening,1,Swayambhu,Koteshwor,400,664.26,65.12
375,SMALL,8.9,Very Heavy,Morning,1,Patan,Bhaktapur,400,759.57,85.34
376,SMALL,1.9,Heavy,Afternoon,0,Kalanki,Koteshwor,400,562.18,295.88
377,SMALL,9.7,Medium,Afternoon,0,Swayambhu,Maharajgunj,400,440.38,45.4
378,SMALL,17.5,Medium,Afternoon,0,Kirtipur,Bhaktapur,400,400.0,22.86
379,SMALL,3.5,Very Heavy,Morning,1,New Road,Baneshwor,400,651.92,186.26
380,MEDIUM,7.1,Heavy,Morning,1,Koteshwor,Bhaktapur,700,1116.5,157.25
381,SMALL,9.8,Light,Night,0,Maharajgunj,Budhanilkantha,400,400.0,40.82
382,MEDIUM,6.0,Light,Night,0,Kalanki,Dillibazar,700,700.0,116.67
383,SMALL,5.8,Heavy,Morning,1,Swayambhu,Kalanki,400,595.35,102.65
384,SMALL,11.9,Very Heavy,Morning,1,Budhanilkantha,Koteshwor,400,689.0,57.9
385,MEDIUM,10.0,Light,Afternoon,0,Bhaktapur,Dillibazar,700,749.16,74.92
386,MEDIUM,6.4,Medium,Afternoon,0,New Road,Koteshwor,700,706.6,110.41
387,SMALL,10.7,Very Heavy,Morning,1,Lazimpat,Dillibazar,400,746.86,69.8
388,MEDIUM,7.3,Light,Night,0,Budhanilkantha,Swayambhu,700,700.0,95.89
389,MEDIUM,7.1,Very Heavy,Morning,1,Dillibazar,Koteshwor,700,1280.61,180.37
390,SMALL,8.3,Very Heavy,Morning,1,Chabahil,Budhanilkantha,400,753.23,90.75
391,LARGE,5.0,Very Heavy,Evening,1,Maharajgunj,Thamel,1200,1977.52,395.5
392,SMALL,5.0,Light,Afternoon,0,Swayambhu,New Road,400,417.38,83.48
393,MEDIUM,10.5,Very Heavy,Morning,1,Lazimpat,Bhaktapur,700,1179.89,112.37
394,SMALL,5.6,Very Heavy,Morning,1,Budhanilkantha,Maharajgunj,400,668.93,119.45
395,SMALL,6.3,Medium,Afternoon,0,Bhaktapur,Gaushala,400,407.28,64.65
396,MEDIUM,9.0,Light,Afternoon,0,Kalanki,Kirtipur,700,765.22,85.02
397,SMALL,8.7,Light,Night,0,Budhanilkantha,Dillibazar,400,400.0,45.98
398,SMALL,9.9,Heavy,Evening,1,Maharajgunj,Koteshwor,400,611.18,61.74
399,MEDIUM,11.2,Medium,Afternoon,0,Swayambhu,New Road,700,705.27,62.97
400,LARGE,5.1,Heavy,Morning,1,Bhaktapur,Kirtipur,1200,1852.0,363.14
401,SMALL,10.1,Heavy,Morning,1,Baneshwor,Budhanilkantha,400,665.11,65.85
402,MEDIUM,9.5,Light,Night,0,Koteshwor,Bhaktapur,700,700.0,73.68
403,SMALL,7.0,Medium,Afternoon,0,Gaushala,Maharajgunj,400,408.64,58.38
404,LARGE,6.6,Heavy,Morning,1,Koteshwor,Chabahil,1200,1687.74,255.72
405,MEDIUM,5.6,Very Heavy,Evening,1,Baneshwor,Budhanilkantha,700,1342.08,239.66
406,SMALL,10.8,Light,Afternoon,0,Gaushala,Maharajgunj,400,409.4,37.91
407,SMALL,9.3,Light,Afternoon,0,Baneshwor,Lazimpat,400,400.0,43.01
408,SMALL,1.8,Heavy,Morning,1,Dillibazar,Baneshwor,400,684.27,380.15
409,LARGE,5.7,Heavy,Evening,1,Kalanki,Dillibazar,1200,1779.95,312.27
410,SMALL,8.3,Very Heavy,Evening,1,Thamel,Swayambhu,400,701.19,84.48
411,SMALL,8.2,Heavy,Morning,1,Chabahil,Lazimpat,400,629.49,76.77
412,MEDIUM,8.3,Very Heavy,Evening,1,Baneshwor,Patan,700,1261.12,151.94
413,LARGE,11.3,Very Heavy,Morning,1,New Road,Budhanilkantha,1200,2019.31,178.7
414,SMALL,8.1,Medium,Afternoon,0,Gaushala,Kalanki,400,425.5,52.53
415,LARGE,6.0,Medium,Afternoon,0,Bhaktapur,Baneshwor,1200,1446.15,241.03
416,SMALL,11.4,Medium,Afternoon,0,Chabahil,Koteshwor,400,412.91,36.22
417,SMALL,1.9,Heavy,Morning,1,Koteshwor,Kalanki,400,662.22,348.54
418,MEDIUM,11.3,Light,Afternoon,0,Maharajgunj,Swayambhu,700,747.44,66.15
419,SMALL,5.3,Medium,Afternoon,0,Lazimpat,Gaushala,400,416.14,78.52
420,MEDIUM,5.7,Heavy,Morning,1,Patan,Dillibazar,700,1006.78,176.63
421,SMALL,6.4,Light,Afternoon,0,Bhaktapur,Lazimpat,400,400.0,62.5
422,SMALL,11.4,Heavy,Evening,1,Kirtipur,Swayambhu,400,682.25,59.85
423,SMALL,11.9,Light,Afternoon,0,Patan,Thamel,400,400.0,33.61
424,SMALL,6.1,Medium,Afternoon,0,Budhanilkantha,Koteshwor,400,408.8,67.02
425,SMALL,11.3,Heavy,Evening,1,Maharajgunj,Budhanilkantha,400,580.43,51.37
426,SMALL,7.2,Medium,Afternoon,0,Maharajgunj,Chabahil,400,451.66,62.73
427,SMALL,10.0,Medium,Afternoon,0,Patan,Dillibazar,400,400.84,40.08
428,SMALL,9.9,Very Heavy,Morning,1,Patan,Koteshwor,400,701.14,70.82
429,SMALL,8.3,Very Heavy,Morning,1,Bhaktapur,Budhanilkantha,400,655.01,78.92
430,MEDIUM,8.6,Very Heavy,Morning,1,New Road,Gaushala,700,1146.58,133.32
431,LARGE,6.1,Medium,Afternoon,0,Budhanilkantha,Swayambhu,1200,1200.0,196.72
432,SMALL,8.2,Light,Afternoon,0,Kirtipur,Baneshwor,400,404.19,49.29
433,SMALL,9.2,Very Heavy,Evening,1,Lazimpat,Kalanki,400,789.96,85.87
434,SMALL,12.4,Light,Afternoon,0,Chabahil,Kalanki,400,401.24,32.36
435,SMALL,9.3,Medium,Afternoon,0,Dillibazar,Patan,400,432.71,46.53
436,SMALL,8.3,Heavy,Morning,1,Patan,Baneshwor,400,582.56,70.19
437,SMALL,1.9,Heavy,Afternoon,0,Koteshwor,Kalanki,400,570.52,300.27
438,SMALL,5.7,Very Heavy,Morning,1,New Road,Kalanki,400,702.88,123.31
439,SMALL,6.7,Heavy,Evening,1,Chabahil,Budhanilkantha,400,644.86,96.25
440,LARGE,11.0,Light,Night,0,Dillibazar,Lazimpat,1200,1200.0,109.09
441,MEDIUM,9.1,Medium,Afternoon,0,Gaushala,Thamel,700,782.85,86.03
442,MEDIUM,13.0,Heavy,Morning,1,Kirtipur,Budhanilkantha,700,998.61,76.82
443,MEDIUM,8.5,Medium,Afternoon,0,Gaushala,Patan,700,741.41,87.22
444,SMALL,5.9,Light,Afternoon,0,Lazimpat,Dillibazar,400,400.0,67.8
445,SMALL,9.0,Medium,Afternoon,0,Kalanki,Maharajgunj,400,419.11,46.57
446,SMALL,11.1,Medium,Afternoon,0,Dillibazar,Kalanki,400,400.0,36.04
447,SMALL,11.4,Medium,Afternoon,0,Swayambhu,Patan,400,438.76,38.49
448,SMALL,1.7,Very Heavy,Evening,1,Thamel,Dillibazar,400,770.16,453.04
449,SMALL,7.1,Heavy,Morning,1,Patan,Lazimpat,400,639.77,90.11
450,MEDIUM,9.2,Very Heavy,Morning,1,Thamel,Gaushala,700,1380.3,150.03
451,SMALL,10.0,Light,Afternoon,0,Patan,Thamel,400,400.0,40.0
452,SMALL,6.1,Light,Afternoon,0,Lazimpat,Thamel,400,435.9,71.46
453,SMALL,9.6,Very Heavy,Evening,1,Dillibazar,Bhaktapur,400,669.03,69.69
454,MEDIUM,9.2,Light,Afternoon,0,Gaushala,Thamel,700,700.0,76.09
455,MEDIUM,1.5,Very Heavy,Morning,1,Maharajgunj,Lazimpat,700,1154.67,769.78
456,MEDIUM,9.2,Medium,Afternoon,0,Kirtipur,Maharajgunj,700,769.09,83.6
457,SMALL,13.5,Very Heavy,Evening,1,Koteshwor,Swayambhu,400,653.24,48.39
458,MEDIUM,5.4,Heavy,Evening,1,Budhanilkantha,Dillibazar,700,1089.8,201.81
459,SMALL,4.8,Light,Night,0,Patan,New Road,400,400.0,83.33
460,SMALL,2.8,Heavy,Afternoon,0,Koteshwor,Baneshwor,400,485.65,173.45
461,SMALL,3.0,Light,Afternoon,0,Dillibazar,Thamel,400,400.0,133.33
462,LARGE,8.0,Heavy,Evening,1,New Road,Koteshwor,1200,1814.66,226.83
463,SMALL,6.4,Light,Afternoon,0,Budhanilkantha,Lazimpat,400,400.0,62.5
464,LARGE,2.9,Heavy,Evening,1,Swayambhu,Chabahil,1200,1732.21,597.31
465,SMALL,6.6,Very Heavy,Morning,1,Maharajgunj,Kirtipur,400,680.77,103.15
466,LARGE,8.1,Very Heavy,Evening,1,Chabahil,Thamel,1200,2216.28,273.61
467,MEDIUM,1.5,Heavy,Evening,1,New Road,Thamel,700,987.32,658.21
468,SMALL,9.3,Very Heavy,Evening,1,Kirtipur,Dillibazar,400,741.61,79.74
469,SMALL,5.4,Light,Afternoon,0,Gaushala,Patan,400,400.0,74.07
470,SMALL,8.0,Light,Afternoon,0,Kalanki,Maharajgunj,400,400.0,50.0
471,MEDIUM,11.2,Very Heavy,Morning,1,Swayambhu,Budhanilkantha,700,1156.44,103.25
472,SMALL,5.5,Light,Night,0,Lazimpat,Patan,400,400.0,72.73
473,SMALL,7.7,Medium,Afternoon,0,New Road,Swayambhu,400,464.27,60.29
474,SMALL,5.7,Light,Afternoon,0,Thamel,Kirtipur,400,436.06,76.5
475,SMALL,7.8,Medium,Afternoon,0,Kirtipur,Dillibazar,400,473.16,60.66
476,SMALL,7.0,Medium,Afternoon,0,Thamel,Koteshwor,400,460.05,65.72
477,SMALL,9.6,Heavy,Evening,1,Dillibazar,Koteshwor,400,588.85,61.34
478,SMALL,10.0,Light,Night,0,New Road,Kirtipur,400,400.0,40.0
479,SMALL,15.9,Heavy,Evening,1,Patan,Budhanilkantha,400,635.8,39.99
480,SMALL,8.6,Medium,Afternoon,0,Koteshwor,Bhaktapur,400,440.98,51.28
481,SMALL,11.7,Light,Night,0,Kalanki,New Road,400,400.0,34.19
482,LARGE,8.0,Very Heavy,Evening,1,Maharajgunj,Koteshwor,1200,2211.51,276.44
483,SMALL,6.3,Medium,Afternoon,0,Dillibazar,Gaushala,400,459.19,72.89
484,SMALL,9.0,Heavy,Evening,1,Kalanki,Chabahil,400,601.62,66.85
485,LARGE,5.0,Light,Afternoon,0,Chabahil,Budhanilkantha,1200,1319.98,264.0
486,LARGE,10.7,Light,Afternoon,0,Thamel,Bhaktapur,1200,1220.54,114.07
487,SMALL,7.7,Very Heavy,Morning,1,Thamel,Maharajgunj,400,688.66,89.44
488,SMALL,11.8,Heavy,Morning,1,Maharajgunj,Thamel,400,685.79,58.12
489,SMALL,5.8,Heavy,Afternoon,0,Kalanki,Swayambhu,400,484.22,83.49
490,SMALL,1.2,Medium,Afternoon,0,New Road,Dillibazar,400,449.58,374.65
491,SMALL,1.9,Heavy,Afternoon,0,Koteshwor,Kalanki,400,559.32,294.38
492,SMALL,10.8,Very Heavy,Morning,1,Kirtipur,Thamel,400,726.9,67.31
493,SMALL,8.5,Heavy,Morning,1,Chabahil,Kalanki,400,680.97,80.11
494,MEDIUM,7.4,Light,Night,0,New Road,Swayambhu,700,700.0,94.59
495,SMALL,11.9,Heavy,Morning,1,Maharajgunj,Swayambhu,400,602.91,50.66
496,SMALL,6.8,Heavy,Morning,1,Thamel,Patan,400,622.38,91.53
497,MEDIUM,5.3,Light,Afternoon,0,New Road,Lazimpat,700,702.09,132.47
498,SMALL,7.8,Very Heavy,Morning,1,Gaushala,Patan,400,716.25,91.83
499,SMALL,8.5,Heavy,Morning,1,Gaushala,Thamel,400,567.93,66.82
500,SMALL,11.9,Heavy,Morning,1,Budhanilkantha,Swayambhu,400,651.06,54.71
